SA21,SA22
"0,03","0,32"
"0,02","0,29"
"-0,02","0,3"
"-0,02","0,23"
"0,01","0,28"
"0,02","0,26"
"-0,01","0,24"
"-0,03","0,28"
"-0,02","0,23"
"0,03","0,25"
"0,02","0,24"
"-0,02","0,22"
"0,02","0,22"
"0,03","0,22"
0,"0,23"
"0,03","0,23"
"-0,03","0,21"
0,"0,2"
"-0,01","0,17"
"-0,01","-0,65"
"0,02","-1,22"
"0,02","-1,14"
"0,02","-1,24"
"0,01","-1,22"
"0,02","-1,28"
"-0,01","-1,23"
"0,01","-1,34"
"0,04","-1,33"
"0,03","-1,35"
"0,04","-1,36"
"0,06","-1,38"
"0,06","-1,42"
"0,08","-1,35"
"0,07","-1,34"
"0,07","-1,35"
"0,06","-1,22"
"0,07","-1,29"
"0,07","-1,26"
"0,08","-1,21"
"0,07","-1,18"
"0,06","-1,18"
"0,04","-1,11"
"0,04","-1,15"
"0,03","-1,03"
"0,02","-1,1"
"0,01","-1,08"
0,"-1,05"
0,"-1,02"
"0,01","-1,04"
"0,01","-0,97"
0,"-0,98"
"-0,08","-0,95"
"-0,48","-0,91"
"-0,4","-1,01"
"-0,37","-0,83"
"-0,34","-0,95"
"-0,42","-0,87"
"-0,25","-0,84"
"-0,11","-0,94"
"-0,03","-0,88"
"-0,02","-0,93"
"-0,02","-0,72"
"0,01","-0,86"
"0,01","-0,86"
"0,01","-0,85"
0,"-0,83"
0,"-0,81"
"0,01","-0,78"
"-0,01","-0,04"
"-0,01","-0,03"
0,"0,27"
"0,01","0,37"
"0,01","0,03"
"0,01",0
0,"0,15"
"0,01","0,16"
0,"0,16"
"0,13","0,11"
"0,22","0,11"
"0,25","0,1"
"0,3","0,08"
"0,32","0,07"
"0,32","0,05"
"0,33","0,08"
"0,31","0,06"
"0,32","0,03"
"0,32","-0,21"
"0,33","-0,34"
"0,33","-0,59"
"0,33","-0,59"
"0,39","-0,56"
"0,87","-0,51"
"0,85","-0,46"
"0,81","-0,31"
"0,81","-0,06"
"0,65","0,07"
"0,56","0,09"
"0,55","0,1"
"0,61","0,1"
"0,52","0,11"
"0,52","0,07"
"0,51","0,07"
"0,52","0,03"
"0,54","0,04"
"0,58","0,07"
"0,72","0,04"
"0,83","0,04"
"0,91","0,03"
"1,01","0,02"
"0,98","0,04"
"0,83","0,08"
"0,43","0,1"
"0,12","0,11"
0,"0,12"
0,"0,13"
"0,01","0,17"
"0,01","0,16"
0,"0,17"
"0,01","0,18"
0,"0,19"
0,"0,18"
0,"0,2"
0,"0,23"
"0,01","0,21"
"-0,01","0,22"
"-0,08","0,21"
"-0,17","0,22"
"-0,18","0,21"
"-0,31","0,23"
"-0,62","0,15"
"-0,75","0,18"
"-0,52","0,19"
"-0,42","0,22"
"-0,47","0,21"
"-0,71","0,22"
"-0,9","0,2"
"-0,92","0,24"
"-1,05","0,17"
"-1,17","0,17"
"-0,87","0,25"
"-0,45","0,25"
"-0,14","0,27"
"-0,31","0,43"
"-0,51","0,29"
"-0,44","0,29"
"-0,39","0,35"
"-0,46","0,33"
"-0,61","0,34"
"-0,5","0,32"
"-0,48","0,4"
"-0,2","0,44"
"-0,66","0,17"
"-0,94","0,38"
